id,acto,pregunta,titulo,nivel,estado_publicacion,en_historia,tabla,grafico,universo,limitacion
P01,Acto 1 · El tamaño,¿Cuántos contratos firma cada alcalde y cuántos son con personas?,Nueve de cada diez contratos son CPS con personas,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p01_nueve_de_cada_diez_contratos_son_cps_con.csv,datos/salidas/07_historia/graficos/a1_universo_por_ventana.png,Contratos válidos de la Alcaldía central (NIT 890201900); CPS de personas con identidad apta,El periodo de Alfonso empieza en abril de 2021 (verificado: SECOP I tiene 734 registros de la Alcaldía de enero a marzo de 2021 y solo 31 de abril en adelante).
P02,Acto 1 · El tamaño,¿Cuánto dinero es y qué parte se va en CPS?,"Muchos contratos, poca plata",Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p02_muchos_contratos_poca_plata.csv,datos/salidas/07_historia/graficos/a1_cps_vs_total_por_anio.png,Contratos válidos de la Alcaldía central,2021 y el año del corte son parciales; el valor de los meses sin IPC publicado queda fuera de las sumas.
P03,Acto 2 · La vida de un contratista,¿Cuánto dura un contrato? ¿Cuántos pasan de 6 o 7 meses?,Contratos cortos,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p03_contratos_cortos.csv,datos/salidas/07_historia/graficos/a2_duracion_por_anio.png,"CPS de personas, Alcaldía central, vigencia 1–366 días","Vigencia pactada registrada (ya incluye prórrogas), no días trabajados."
P04,Acto 2 · La vida de un contratista,"¿Cuántas personas son ""las más estables"" (7 meses o más con contrato en el año)?","Contratos cortos, personas que encadenan",Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p04_contratos_cortos_personas_que_encadenan.csv,datos/salidas/07_historia/graficos/a2_meses_con_contrato_por_persona.png,"CPS de personas, Alcaldía central, años calendario completos","Etapas distintas del mandato; fechas pactadas, no días trabajados."
P05,Acto 2 · La vida de un contratista,¿Cuáles son los contratos más largos que dio cada alcalde?,Ningún CPS válido llega a un año,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p05_ningun_cps_valido_llega_a_un_ano.csv,datos/salidas/07_historia/graficos/a2_contratos_mas_largos.png,"CPS de personas, Alcaldía central, vigencia 1–366 días",Se publican conteos por banda de duración; la lista de contratos queda para verificación interna.
P06,Acto 2 · La vida de un contratista,"Cuando se acaba un contrato, ¿cuánto tarda la renovación?",Mes y medio de espera típica,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p06_mes_y_medio_de_espera_tipica.csv,datos/salidas/07_historia/graficos/a2_tiempo_de_renovacion.png,Episodios de CPS de la Alcaldía central terminados al menos 365 días antes del corte,Seguimiento igual de 365 días; solo ve la Alcaldía central. El Q04 del 06 mide pausas dentro de una ventana (otra definición) y da cifras distintas.
P07,Acto 2 · La vida de un contratista,¿Cuántas personas tienen contrato vigente cada día?,Cada enero la contratación se apaga,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p07_cada_enero_la_contratacion_se_apaga.csv,datos/salidas/07_historia/graficos/a2_pulso_diario.png,"CPS de personas, Alcaldía central, vigencia 1–366 días",Fechas pactadas; una terminación anticipada no registrada infla la vigencia.
P08,Acto 2 · La vida de un contratista,¿Qué tan frecuentes son las prórrogas?,Las prórrogas se volvieron frecuentes,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p08_las_prorrogas_se_volvieron_frecuentes.csv,datos/salidas/07_historia/graficos/a2_prorrogas.png,"CPS de personas, Alcaldía central",Los contratos de 2026 siguen en ejecución y pueden sumar más prórrogas.
P09,Acto 3 · El dinero en el bolsillo,¿Cuánto pacta al mes un profesional y un apoyo a la gestión con cada alcalde?,"Más pesos, menos poder de compra con el paso del tiempo",Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p09_mas_pesos_menos_poder_de_compra_con_el_p.csv,datos/salidas/07_historia/graficos/a3_honorarios_tres_monedas.png,"CPS de personas con 30 días o más y subtipo claro, Alcaldía central",El subtipo profesional/apoyo sale del texto del contrato (SIN_VALIDACION_MANUAL). IPC nacional.
P10,Acto 3 · El dinero en el bolsillo,"A la misma persona, ¿le cambió el valor mensual?","Para la misma persona, el resultado depende de cuándo se mida",Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p10_para_la_misma_persona_el_resultado_depen.csv,datos/salidas/07_historia/graficos/a3_misma_persona.png,"Personas con CPS del mismo subtipo en ambos gobiernos, 30 días o más",Subtipo por texto (SIN_VALIDACION_MANUAL); el resultado cambia con el intervalo de tiempo entre contratos.
P11,Acto 3 · El dinero en el bolsillo,¿Cómo se reparte el dinero de los CPS entre las personas?,Sin concentración extrema,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p11_sin_concentracion_extrema.csv,datos/salidas/07_historia/graficos/a3_reparto.png,"CPS de personas, Alcaldía central, valor con IPC publicado","Valor pactado al firmar, no pagado."
P12,Acto 4 · Varias puertas,¿Cuántas personas han contratado con la Alcaldía y también con otras entidades?,15 % de los contratistas de la Alcaldía también tuvo CPS en otra entidad,Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p12_15_de_los_contratistas_de_la_alcaldia_ta.csv,datos/salidas/07_historia/graficos/a4_varias_entidades.png,CPS de personas naturales con identidad apta en las nueve entidades,Cobertura de SECOP II distinta por entidad; combinaciones con menos de 10 personas no se muestran.
P13,Acto 4 · Varias puertas,¿Cómo contratan las otras entidades?,Las otras entidades crecen en SECOP II,Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p13_las_otras_entidades_crecen_en_secop_ii.csv,datos/salidas/07_historia/graficos/a4_otras_entidades.png,Contratos válidos de las nueve entidades,Cobertura de SECOP II distinta por entidad y año.
P14,Acto 5 · El reloj político,¿Cuándo se firman los contratos?,La contratación llega en oleadas y en pocos días,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p14_la_contratacion_llega_en_oleadas_y_en_po.csv,datos/salidas/07_historia/graficos/a5_calendario_firmas.png,"CPS de personas naturales, Alcaldía central",Fecha de firma registrada en SECOP II; no se verificó contra el documento físico.
P15,Acto 5 · El reloj político,¿Qué pasó con la contratación antes de la Ley de Garantías de 2026?,2026: contratar antes de la veda y luego prorrogar,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p15_2026_contratar_antes_de_la_veda_y_luego.csv,datos/salidas/07_historia/graficos/a5_ley_garantias_2022_2026.png,"CPS de personas naturales, Alcaldía central",La fecha final original se estima restando los días adicionados; los contratos de 2026 siguen en ejecución.
P16,Acto 5 · El reloj político,¿Se firmaron CPS durante los periodos de prohibición de la Ley de Garantías?,CPS con fecha de firma dentro de los periodos de prohibición,Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p16_cps_con_fecha_de_firma_dentro_de_los_per.csv,,"CPS de personas naturales, Alcaldía central",Conteo por fecha de firma registrada; la legalidad de cada contrato requiere su expediente.
P17,Acto 5 · El reloj político,¿Qué pasó antes de las elecciones locales de 2023?,Junio de 2023: la tanda antes de las elecciones locales,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p17_junio_de_2023_la_tanda_antes_de_las_elec.csv,datos/salidas/07_historia/graficos/a5_calendario_firmas.png,"CPS de personas naturales, Alcaldía central","Sin expedientes no se conoce el motivo de la tanda (presupuesto, proyectos, vigencias)."
P18,Acto 5 · El reloj político,¿Se firmaron contratos interadministrativos durante la restricción de 2025–2026?,Contratos interadministrativos con fecha de firma dentro de la restricción del artículo 38,Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p18_contratos_interadministrativos_con_fecha.csv,,Contratos válidos de la Alcaldía central con justificación interadministrativa,Conteo por fecha de firma registrada; requiere expediente y concepto jurídico de cada contrato.
P19,Acto 5 · El reloj político,"Con el cambio de gobierno, ¿quién siguió?",El nuevo gobierno volvió a contratar a 4 de cada 10 contratistas del anterior,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p19_el_nuevo_gobierno_volvio_a_contratar_a_4.csv,datos/salidas/07_historia/graficos/a5_cambio_de_gobierno.png,"CPS de personas naturales, Alcaldía central, vigencia 1–366 días",Solo ve la Alcaldía central: una persona pudo pasar a otra entidad.
P20,Acto 5 · El reloj político,¿Cuántos son nuevos cada año y cuántos siguen?,"Dentro de un gobierno la mayoría repite; en el cambio, la mayoría no",Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p20_dentro_de_un_gobierno_la_mayoria_repite.csv,datos/salidas/07_historia/graficos/a5_rotacion.png,"CPS de personas naturales, Alcaldía central",2021 empieza en abril y 2026 es parcial: el paso 2025→2026 es un mínimo.
P21,Acto 6 · Más allá de las personas,¿Qué dependencias contratan más CPS?,Qué dependencias contratan y cómo cambió,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p21_que_dependencias_contratan_y_como_cambio.csv,datos/salidas/07_historia/graficos/a6_dependencias.png,"CPS de personas naturales, Alcaldía central, con dependencia en el objeto",Extracción por texto; la cobertura cambia por año y puede sesgar las participaciones.
P22,Acto 6 · Más allá de las personas,¿En qué años se firma la obra pública?,La obra pública se firmó sobre todo al final del gobierno anterior,Patrón estadístico,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p22_la_obra_publica_se_firmo_sobre_todo_al_f.csv,datos/salidas/07_historia/graficos/a6_otros_contratos.png,Contratos válidos de la Alcaldía central distintos de CPS,Valor firmado; un periodo de gobierno por lado (no permite generalizar). 2026 es parcial.
P23,Acto 6 · Más allá de las personas,¿Cómo contrata la Alcaldía lo que no son personas?,Más contratación directa con entidades públicas,Dato descriptivo,PUBLICABLE_CON_CAUTELA,True,datos/salidas/07_historia/tablas/p23_mas_contratacion_directa_con_entidades_p.csv,datos/salidas/07_historia/graficos/a6_otros_contratos.png,Contratos válidos de la Alcaldía central distintos de CPS,SECOP llama 'valor cero' a una categoría de interadministrativos que sí tiene valor; se usa la justificación registrada.
P24,Acto 7 · Lo que no salta a la vista,¿Cuántos contratos firma una persona en un año?,"Un año, uno o dos contratos",Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p24_un_ano_uno_o_dos_contratos.csv,datos/salidas/07_historia/graficos/a7_contratos_por_persona.png,"CPS de personas, Alcaldía central, años completos",Fechas registradas en SECOP II.
P25,Acto 7 · Lo que no salta a la vista,¿Hay un núcleo de personas que siempre está?,Un núcleo pequeño atraviesa los dos gobiernos,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p25_un_nucleo_pequeno_atraviesa_los_dos_gobi.csv,datos/salidas/07_historia/graficos/a7_nucleo_permanente.png,"CPS de personas, Alcaldía central",Solo ve la Alcaldía central.
P26,Acto 7 · Lo que no salta a la vista,¿De dónde salen estos datos y qué tan completos son?,Datos públicos con huecos conocidos,Dato descriptivo,PUBLICABLE,True,datos/salidas/07_historia/tablas/p26_datos_publicos_con_huecos_conocidos.csv,,Corrida congelada de SECOP II y verificaciones del 01,Las verificaciones externas dependen de la conexión al ejecutar el 01.
