id,acto,pregunta,titulo,texto,cifra_clave,no_significa,nivel,estado_publicacion,universo,limitacion,tabla,grafico,en_historia
P01,Acto 1 · El tamaño,¿Cuántos contratos firma cada alcalde y cuántos son con personas?,Nueve de cada diez contratos son CPS con personas,"En los 33 meses observados del gobierno de Alfonso Eljach (abr-2021 a dic-2023) la Alcaldía central firmó 13.669 contratos; 12.755 fueron CPS con 4.986 personas distintas (386 CPS al mes). En los 32 meses de Jonathan Vásquez (ene-2024 al corte) firmó 14.240 contratos; 13.373 CPS con 5.256 personas (416 al mes). Los dos periodos no son la misma etapa del mandato, así que la comparación justa es el año 3 (enero–agosto de 2022 y de 2026): 3.378 CPS con 2.819 personas con Alfonso y 4.133 con 3.123 con Jonathan. La dirección (más CPS y más personas en el periodo de Jonathan) se mantiene con todas las ventanas del cuaderno 04, pero el tamaño del aumento cambia según la ventana: de +10,8 % a +26,5 % en personas y de +22,4 % a +25,4 % en contratos.",12.755 CPS (Alfonso Eljach) y 13.373 (Jonathan Vásquez),Más contratos no significa más empleo ni mejor gestión: un mismo trabajo puede partirse en varios contratos cortos. Los gobiernos están en etapas distintas del mandato; por eso se comparan ventanas equivalentes.,Dato descriptivo,PUBLICABLE,Contratos válidos de la Alcaldía central (NIT 890201900); CPS de personas con identidad apta,El periodo de Alfonso empieza en abril de 2021 (verificado: SECOP I tiene 734 registros de la Alcaldía de enero a marzo de 2021 y solo 31 de abril en adelante).,datos/salidas/07_historia/tablas/p01_nueve_de_cada_diez_contratos_son_cps_con.csv,datos/salidas/07_historia/graficos/a1_universo_por_ventana.png,True
P02,Acto 1 · El tamaño,¿Cuánto dinero es y qué parte se va en CPS?,"Muchos contratos, poca plata","Cada año entre 92 % y 95 % de los contratos son CPS, pero se llevan entre 13 % y 31 % del valor firmado. En todo el gobierno observado de Alfonso los CPS sumaron 183,7 miles de millones de pesos constantes (5,6 al mes) y en el de Jonathan 175,9 (5,5 al mes). El resto del dinero va a obras, convenios, bienes y servicios de empresas (Acto 6).",94 % de los contratos y 17 % del valor (mediana anual),"Es valor pactado al firmar, no pagado. Un año con mucha obra hace que los CPS pesen menos en porcentaje.",Dato descriptivo,PUBLICABLE,Contratos válidos de la Alcaldía central,2021 y el año del corte son parciales; el valor de los meses sin IPC publicado queda fuera de las sumas.,datos/salidas/07_historia/tablas/p02_muchos_contratos_poca_plata.csv,datos/salidas/07_historia/graficos/a1_cps_vs_total_por_anio.png,True
P03,Acto 2 · La vida de un contratista,¿Cuánto dura un contrato? ¿Cuántos pasan de 6 o 7 meses?,Contratos cortos,"Un CPS dura en promedio 3,7 meses con Alfonso y 3,5 con Jonathan (mediana 3,9 y 3,0). Los contratos de 6 meses o más son la excepción: 1.052 (8,3 %) con Alfonso y 499 (3,8 %) con Jonathan; de 7 meses o más, 419 y 169. De los de 7 meses o más de Alfonso, 385 se firmaron en 2023 (el 9 % de los CPS de ese año, el último del gobierno): esa tanda explica casi toda la diferencia. En la ventana comparable (enero–agosto del año 3) los de 7 meses o más fueron 0,4 % y 0,3 %, y los de 6 meses o más 1,0 % y 2,5 %: no hay una diferencia de fondo entre gobiernos. En los años completos solo entre el 0,1 % y el 0,2 % de los CPS termina después del 31 de diciembre del año en que se firmó.","duración mediana de 3,0 a 4,0 meses según el año; menos de 1 de cada 10 pasa de 6 meses","Un contrato corto no implica un servicio mal prestado. El dato no dice por qué se pactan así (presupuesto anual, planeación u otras razones).",Dato descriptivo,PUBLICABLE,"CPS de personas, Alcaldía central, vigencia 1–366 días","Vigencia pactada registrada (ya incluye prórrogas), no días trabajados.",datos/salidas/07_historia/tablas/p03_contratos_cortos.csv,datos/salidas/07_historia/graficos/a2_duracion_por_anio.png,True
P04,Acto 2 · La vida de un contratista,"¿Cuántas personas son ""las más estables"" (7 meses o más con contrato en el año)?","Contratos cortos, personas que encadenan","Aunque pocos contratos pasan de 7 meses, muchas personas suman 7 meses o más con contrato en el año encadenando varios: 2022: 1.186 personas (34 %); 2023: 1.198 personas (39 %); 2024: 801 personas (30 %); 2025: 921 personas (28 %). Con 10 meses o más, casi todo el año, solo entre 6 % y 9 %. La persona típica tuvo contrato entre 4,0 y 5,7 meses del año y firmó en promedio 1,4 a 1,7 contratos. 2022 y 2023 son los años 3 y 4 de Alfonso; 2024 y 2025, los años 1 y 2 de Jonathan.",28–39 % de las personas con 7 meses o más al año,No mide ingresos anuales ni empleo: fuera de la Alcaldía la persona puede tener otros trabajos.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas, Alcaldía central, años calendario completos","Etapas distintas del mandato; fechas pactadas, no días trabajados.",datos/salidas/07_historia/tablas/p04_contratos_cortos_personas_que_encadenan.csv,datos/salidas/07_historia/graficos/a2_meses_con_contrato_por_persona.png,True
P05,Acto 2 · La vida de un contratista,¿Cuáles son los contratos más largos que dio cada alcalde?,Ningún CPS válido llega a un año,"El CPS más largo del gobierno de Alfonso duró 11,4 meses y el de Jonathan 10,6. Con Alfonso hubo 140 CPS de 9 meses o más (74 de 10 o más); con Jonathan, 86 (28). En el año 3 (enero–agosto) fueron 4 y 12. De los CPS de 9 meses o más, tuvieron prórroga el 24 % con Alfonso y el 48 % con Jonathan. Además, 1 CPS con más de 366 días de vigencia registrada se deja fuera de estos cálculos por ser probable error de registro (sigue en la base).","máximo 11,4 (Alfonso Eljach) y 10,6 meses (Jonathan Vásquez)",Un contrato largo no es un privilegio ni un empleo: sigue siendo un CPS. La lista con nombres queda para verificación interna.,Dato descriptivo,PUBLICABLE,"CPS de personas, Alcaldía central, vigencia 1–366 días",Se publican conteos por banda de duración; la lista de contratos queda para verificación interna.,datos/salidas/07_historia/tablas/p05_ningun_cps_valido_llega_a_un_ano.csv,datos/salidas/07_historia/graficos/a2_contratos_mas_largos.png,True
P06,Acto 2 · La vida de un contratista,"Cuando se acaba un contrato, ¿cuánto tarda la renovación?",Mes y medio de espera típica,"Entre quienes vuelven a tener un CPS con la Alcaldía en menos de un año, la espera promedio es de 72 días (2,4 meses) y la mediana de 47 días: la mitad espera menos de mes y medio. Pero cuántos renuevan depende mucho del año: antes de 90 días volvió a tener contrato entre el 40 % (finales de 2022) y el 75 % (finales de 2021). Esa variación entre años es mayor que la diferencia entre gobiernos, por eso no se compara a los alcaldes con este indicador. En el cambio de gobierno solo el 39 % volvió dentro del año. Quien termina en diciembre espera una mediana de 56 días: el vacío de enero.","espera mediana 47 días; promedio 2,4 meses",Esperar no significa estar desempleado: la persona puede trabajar en otra parte. No renovar no es despido.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,Episodios de CPS de la Alcaldía central terminados al menos 365 días antes del corte,Seguimiento igual de 365 días; solo ve la Alcaldía central. El Q04 del 06 mide pausas dentro de una ventana (otra definición) y da cifras distintas.,datos/salidas/07_historia/tablas/p06_mes_y_medio_de_espera_tipica.csv,datos/salidas/07_historia/graficos/a2_tiempo_de_renovacion.png,True
P07,Acto 2 · La vida de un contratista,¿Cuántas personas tienen contrato vigente cada día?,Cada enero la contratación se apaga,"En un día cualquiera de los años completos había en promedio entre 1.124 y 1.661 personas con CPS vigente, con picos de hasta 2.737 (3.013 en 2026). Pero el 15 de enero de 2022 a 2025 había entre 1 y 4 personas: cada año hubo entre 19 y 24 días con menos de 100 contratistas. 2026 rompe el patrón: el 15 de enero ya había 757. Coincide con que ese año los CPS empezaron a firmarse antes: la primera tanda de enero (10 o más CPS en un día) llegó el 5 de enero, frente al 15–18 de enero de los años completos (Acto 5).",15-ene: 1–4 personas; promedio diario 1.124–1.661,No significa que los servicios se suspendan ni que las personas queden sin ingresos: describe la vigencia pactada de los CPS.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas, Alcaldía central, vigencia 1–366 días",Fechas pactadas; una terminación anticipada no registrada infla la vigencia.,datos/salidas/07_historia/tablas/p07_cada_enero_la_contratacion_se_apaga.csv,datos/salidas/07_historia/graficos/a2_pulso_diario.png,True
P08,Acto 2 · La vida de un contratista,¿Qué tan frecuentes son las prórrogas?,Las prórrogas se volvieron frecuentes,"El porcentaje de CPS con días adicionados pasó de 2 % en 2022 a 31 % en 2026 (hasta el corte), con una prórroga mediana de 32 días. En 2026 casi todas son de contratos firmados en enero, antes de la Ley de Garantías (Acto 5).",2 % → 31 % de CPS prorrogados,Prorrogar está previsto en la ley y el dato no evalúa cada prórroga. Lo que cambia es la forma de contratar: más extensiones de contratos vigentes.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"CPS de personas, Alcaldía central",Los contratos de 2026 siguen en ejecución y pueden sumar más prórrogas.,datos/salidas/07_historia/tablas/p08_las_prorrogas_se_volvieron_frecuentes.csv,datos/salidas/07_historia/graficos/a2_prorrogas.png,True
P09,Acto 3 · El dinero en el bolsillo,¿Cuánto pacta al mes un profesional y un apoyo a la gestión con cada alcalde?,"Más pesos, menos poder de compra con el paso del tiempo","En pesos de cada año, con Alfonso (abr-2021 a dic-2023) un CPS profesional pactó en promedio 3,72 millones al mes (mediana 3,51) y uno de apoyo a la gestión 2,07 (mediana 2,00). Con Jonathan (ene-2024 al corte): profesional 4,25 (mediana 4,02) y apoyo 2,60 (mediana 2,54). En pesos de cada año las cifras incluyen el efecto de la inflación. Descontando la inflación, la mediana profesional pasó de 5,1 millones en 2021 a 4,2 en 2026 (pesos de agosto de 2026), y en salarios mínimos de 3,8 a 2,3: los honorarios crecieron menos que la inflación y mucho menos que el salario mínimo. La caída empezó en 2022 y 2023, tuvo un repunte en 2024 y siguió después, así que no se atribuye a un alcalde (el 06 marca esa comparación como no publicable). En apoyo a la gestión la mediana real cambió -9,7 % entre 2021 y 2026, o -9,7 % si los contratos de subtipo ambiguo se cuentan como apoyo: la magnitud depende del clasificador.","mediana profesional descontando inflación: 5,1 M (2021) → 4,2 M (2026) al mes",No es salario ni ingreso: no descuenta aportes ni cuenta los meses sin contrato. No dice si un gobierno paga más o menos que otro.,Dato descriptivo,PUBLICABLE_CON_CAUTELA,"CPS de personas con 30 días o más y subtipo claro, Alcaldía central",El subtipo profesional/apoyo sale del texto del contrato (SIN_VALIDACION_MANUAL). IPC nacional.,datos/salidas/07_historia/tablas/p09_mas_pesos_menos_poder_de_compra_con_el_p.csv,datos/salidas/07_historia/graficos/a3_honorarios_tres_monedas.png,True
P10,Acto 3 · El dinero en el bolsillo,"A la misma persona, ¿le cambió el valor mensual?","Para la misma persona, el resultado depende de cuándo se mida","De las 775 personas con CPS profesional en ambos gobiernos, al comparar su último contrato con Alfonso y su primero con Jonathan (una mediana de 12 meses después), el valor mensual subió +11,9 % en pesos de cada año y +0,7 % descontando la inflación (mediana), pero el 48 % perdió poder de compra. Si la misma persona se compara con cuatro años de distancia (enero–agosto de 2022 frente a 2026, cuaderno 04), la mediana real profesional cae -12,6 % y solo el 21 % tuvo aumento. En apoyo a la gestión: +8,7 % real en el cambio de gobierno y +1,2 % entre 2022 y 2026. La lectura consistente es la de la serie (P09): los valores reales se erosionan con el tiempo, con un repunte puntual en el cambio de gobierno.",profesional misma persona: 48 % perdió poder de compra en el cambio de gobierno,No es un aumento ni un recorte de sueldo: el objeto del contrato puede cambiar y entre un contrato y otro pasa tiempo. No permite decir que un alcalde pague más o menos.,Patrón estadístico,PUBLICABLE_CON_CAUTELA,"Personas con CPS del mismo subtipo en ambos gobiernos, 30 días o más",Subtipo por texto (SIN_VALIDACION_MANUAL); el resultado cambia con el intervalo de tiempo entre contratos.,datos/salidas/07_historia/tablas/p10_para_la_misma_persona_el_resultado_depen.csv,datos/salidas/07_historia/graficos/a3_misma_persona.png,True
