decision,alternativa_descartada,por_que
La Alcaldía se identifica por su NIT (890201900),Filtrar por ciudad,"La ciudad mezcla entidades autónomas (Concejo, Contraloría) con la Alcaldía."
Cada entidad por separado; nada se suma al alcalde automáticamente,Sumar todo lo de Barrancabermeja,El Concejo y los órganos de control no dependen del alcalde.
La persona es su número de documento,Usar el nombre,Los nombres cambian de escritura; el documento no.
El análisis empieza en abril de 2021,Empezar en enero de 2021,Antes de abril la Alcaldía publicaba en SECOP I: 734 registros de enero a marzo de 2021 y 31 de abril en adelante (verificado en el 01).
Comparar alcaldes solo en la ventana principal (ene–ago del año 3),Comparar gobiernos completos o el año 2,Es la única ventana en la misma etapa del mandato con cobertura completa en SECOP II.
Duración inclusiva (fin − inicio + 1),Restar fechas sin más,Restar pierde un día por contrato y subestima la cobertura.
No sumar los días adicionados a la fecha final,Sumarlos,La prueba del 02 muestra que la fecha final ya los incluye.
Pesos constantes con el IPC del DANE,Pesos de cada año,Entre 2021 y 2026 la inflación cambia el poder de compra; se muestran ambas.
"Seguimiento igual de 365 días para medir renovaciones, por año de terminación",Medir todas las esperas y agrupar por gobierno,El periodo más reciente tiene menos tiempo para mostrar esperas largas (sesgo de censura) y el año electoral pesa más que el gobierno.
"Publicar conteos con fecha de firma en periodos de Ley de Garantías como dato, no como infracción",Callarlos o presentarlos como ilegales,El conteo es un hecho verificable; la legalidad depende de excepciones y expedientes.
"Valor pactado, no pagado",Valor pagado,El pagado falta en contratos en ejecución.
No imputar datos faltantes,Rellenar con promedios,Rellenar inventa información.
Desempatar el subtipo por la profesión u oficio nombrado en el objeto,Dejar ambiguos los objetos que dicen 'profesionales y de apoyo',"El rol nombrado (arquitecto, técnico, auxiliar) es evidencia directa; la regla coincide con la etiqueta literal en más del 98 % de los casos."
Estados de publicación por reglas,Publicar todo,Evita convertir una coincidencia en acusación.
